id,DCI,ATC,initiale_ATC,niveau_2,Name_Length,niveau_3,niveau_4,initiale_DCI,Longueur_ATC
1492,Gadofosveset trisodium,V08CA11,V,V08,22,V08C,V08CA,G,7
1493,Isometheptene,A03AX10,A,A03,13,A03A,A03AX,I,7
1494,Lumefantrine,P01BF01,P,P01,12,P01B,P01BF,L,7
1495,Methyltestosterone,G03BA02,G,G03,18,G03B,G03BA,M,7
1496,Naphazoline,R01AB02,R,R01,11,R01A,R01AB,N,7
1497,Nilvadipine,C08CA10,C,C08,11,C08C,C08CA,N,7
1498,Norelgestromin,G03AA13,G,G03,14,G03A,G03AA,N,7
1499,Potassium Iodide,S01XA04,S,S01,16,S01X,S01XA,P,7
1500,Stanozolol,A14AA02,A,A14,10,A14A,A14AA,S,7
1501,Buserelin,L02AE01,L,L02,9,L02A,L02AE,B,7
1502,Aluminum hydroxide,A02AB02,A,A02,18,A02A,A02AB,A,7
1503,Calcium carbonate,A02AC01,A,A02,17,A02A,A02AC,C,7
1504,Lornoxicam,M01AC05,M,M01,10,M01A,M01AC,L,7
1505,Sparteine,C01BA04,C,C01,9,C01B,C01BA,S,7
1506,Sulfaphenazole,S01AB05,S,S01,14,S01A,S01AB,S,7
1507,Gestodene,G03AA10,G,G03,9,G03A,G03AA,G,7
1508,Aceclofenac,M01AB16,M,M01,11,M01A,M01AB,A,7
1509,Ketobemidone,N02AB01,N,N02,12,N02A,N02AB,K,7
1510,Seratrodast,R03DX06,R,R03,11,R03D,R03DX,S,7
1511,Ambroxol,R03CC63,R,R03,8,R03C,R03CC,A,7
1512,Drotaverine,A03AD02,A,A03,11,A03A,A03AD,D,7
1513,Chymopapain,M09AB01,M,M09,11,M09A,M09AB,C,7
1514,Triclofos,N05CM07,N,N05,9,N05C,N05CM,T,7
1515,Beta carotene,A11CA02,A,A11,13,A11C,A11CA,B,7
1516,Betaine,A16AA06,A,A16,7,A16A,A16AA,B,7
1517,Pinacidil,C02DG01,C,C02,9,C02D,C02DG,P,7
1518,Tetryzoline,S01GA02,S,S01,11,S01G,S01GA,T,7
1519,Alcaftadine,S01GX11,S,S01,11,S01G,S01GX,A,7
1520,Ammonium chloride,B05XA04,B,B05,17,B05X,B05XA,A,7
1521,Bendamustine,L01AA09,L,L01,12,L01A,L01AA,B,7
1522,Benzyl alcohol,P03AX06,P,P03,14,P03A,P03AX,B,7
1523,Besifloxacin,S01AE08,S,S01,12,S01A,S01AE,B,7
1524,Cabazitaxel,L01CD04,L,L01,11,L01C,L01CD,C,7
1525,Human calcitonin,H05BA03,H,H05,16,H05B,H05BA,H,7
1526,Capsaicin,M02AB01,M,M02,9,M02A,M02AB,C,7
1527,Carglumic acid,A16AA05,A,A16,14,A16A,A16AA,C,7
1528,Chenodeoxycholic acid,A05AA01,A,A05,21,A05A,A05AA,C,7
1529,Cupric sulfate,V03AB20,V,V03,14,V03A,V03AB,C,7
1530,Dalteparin,B01AB04,B,B01,10,B01A,B01AB,D,7
1531,Difluprednate,D07AC19,D,D07,13,D07A,D07AC,D,7
1532,Dimercaprol,V03AB09,V,V03,11,V03A,V03AB,D,7
1533,Prussian blue,V03AB31,V,V03,13,V03A,V03AB,P,7
1534,Ganirelix,H01CC01,H,H01,9,H01C,H01CC,G,7
1535,Halcinonide,D07AD02,D,D07,11,D07A,D07AD,H,7
1536,Hexocyclium,A03AB10,A,A03,11,A03A,A03AB,H,7
1537,Histrelin,L02AE05,L,L02,9,L02A,L02AE,H,7
1538,Lanreotide,H01CB03,H,H01,10,H01C,H01CB,L,7
1539,Lanthanum carbonate,V03AE03,V,V03,19,V03A,V03AE,L,7
1540,Lodoxamide,S01GX05,S,S01,10,S01G,S01GX,L,7
1541,Mafenide,G01AE10,G,G01,8,G01A,G01AE,M,7
1542,Mangafodipir,V08CA05,V,V08,12,V08C,V08CA,M,7
1543,Mebutamate,N05BC04,N,N05,10,N05B,N05BC,M,7
1544,Methenamine,J01XX05,J,J01,11,J01X,J01XX,M,7
1545,Methylnaltrexone,A06AH01,A,A06,16,A06A,A06AH,M,7
1546,Nepafenac,S01BC10,S,S01,9,S01B,S01BC,N,7
1547,Niclosamide,P02DA01,P,P02,11,P02D,P02DA,N,7
1548,Plerixafor,L03AX16,L,L03,10,L03A,L03AX,P,7
1549,Plicamycin,L01DC02,L,L01,10,L01D,L01DC,P,7
1550,Polidocanol,C05BB02,C,C05,11,C05B,C05BB,P,7
1551,Povidone-iodine,G01AX11,G,G01,15,G01A,G01AX,P,7
1552,Pralatrexate,L01BA05,L,L01,12,L01B,L01BA,P,7
1553,Pyrithione,D11AX12,D,D11,10,D11A,D11AX,P,7
1554,Pyrvinium,P02CX01,P,P02,9,P02C,P02CX,P,7
1555,Raltegravir,J05AR16,J,J05,11,J05A,J05AR,R,7
1556,Phenylbutyric acid,A16AX03,A,A16,18,A16A,A16AX,P,7
1557,Sulconazole,D01AC09,D,D01,11,D01A,D01AC,S,7
1558,Sulfameter,J01ED04,J,J01,10,J01E,J01ED,S,7
1559,Tinzaparin,B01AB10,B,B01,10,B01A,B01AB,T,7
1560,Tiopronin,G04BX16,G,G04,9,G04B,G04BX,T,7
1561,Triethylenetetramine,A16AX12,A,A16,20,A16A,A16AX,T,7
1562,Triptorelin,L02AE04,L,L02,11,L02A,L02AE,T,7
1563,Unoprostone,S01EE02,S,S01,11,S01E,S01EE,U,7
1564,Hymecromone,A05AX02,A,A05,11,A05A,A05AX,H,7
1565,Azapropazone,M01AX04,M,M01,12,M01A,M01AX,A,7
1566,Felbinac,M02AA08,M,M02,8,M02A,M02AA,F,7
1567,Dibromotyrosine,H03BX02,H,H03,15,H03B,H03BX,D,7
1568,Fasudil,C04AX32,C,C04,7,C04A,C04AX,F,7
1569,Sulthiame,N03AX03,N,N03,9,N03A,N03AX,S,7
1570,Parecoxib,M01AH04,M,M01,9,M01A,M01AH,P,7
1571,Efaproxiral,L01XD06,L,L01,11,L01X,L01XD,E,7
1572,Triclosan,D08AE04,D,D08,9,D08A,D08AE,T,7
1573,Thiamphenicol,J01BA02,J,J01,13,J01B,J01BA,T,7
1574,Dapivirine,G01AX17,G,G01,10,G01A,G01AX,D,7
1575,Diloxanide,P01AC01,P,P01,10,P01A,P01AC,D,7
1576,Ethyl biscoumacetate,B01AA08,B,B01,20,B01A,B01AA,E,7
1577,Azidocillin,J01CE04,J,J01,11,J01C,J01CE,A,7
1578,Pipazethate,R05DB11,R,R05,11,R05D,R05DB,P,7
1579,Salicylamide,N02BA75,N,N02,12,N02B,N02BA,S,7
1580,Sulfamoxole,J01EE04,J,J01,11,J01E,J01EE,S,7
1581,Antazoline,R06AX05,R,R06,10,R06A,R06AX,A,7
1582,Chloropyramine,D04AA09,D,D04,14,D04A,D04AA,C,7
1583,Dimetindene,R06AB03,R,R06,11,R06A,R06AB,D,7
1584,Isothipendyl,R06AD09,R,R06,12,R06A,R06AD,I,7
1585,Tymazoline,R01AA13,R,R01,10,R01A,R01AA,T,7
1586,Roxatidine acetate,A02BA06,A,A02,18,A02B,A02BA,R,7
1587,Bopindolol,C07AA17,C,C07,10,C07A,C07AA,B,7
1588,Bupranolol,C07AA19,C,C07,10,C07A,C07AA,B,7
1589,Cinitapride,A03FA08,A,A03,11,A03F,A03FA,C,7
1590,Tofisopam,N05BA23,N,N05,9,N05B,N05BA,T,7
1591,Nadroparin,B01AB06,B,B01,10,B01A,B01AB,N,7
1592,Triflusal,B01AC18,B,B01,9,B01A,B01AC,T,7
1593,Lurasidone,N05AE05,N,N05,10,N05A,N05AE,L,7
1594,Ticagrelor,B01AC24,B,B01,10,B01A,B01AC,T,7
1595,Hyaluronic acid,S01KA51,S,S01,15,S01K,S01KA,H,7
1596,Tafluprost,S01EE05,S,S01,10,S01E,S01EE,T,7
1597,Ivacaftor,R07AX31,R,R07,9,R07A,R07AX,I,7
1598,Azilsartan medoxomil,C09CA09,C,C09,20,C09C,C09CA,A,7
1599,Ioflupane I-123,V09AB03,V,V09,15,V09A,V09AB,I,7
1600,Deferiprone,V03AC02,V,V03,11,V03A,V03AC,D,7
1601,Lomitapide,C10AX12,C,C10,10,C10A,C10AX,L,7
1602,Vismodegib,L01XX43,L,L01,10,L01X,L01XX,V,7
1603,Spaglumic acid,R01AC05,R,R01,14,R01A,R01AC,S,7
1604,Temocapril,C09AA14,C,C09,10,C09A,C09AA,T,7
1605,N-methylnicotinamide,A05AB01,A,A05,20,A05A,A05AB,N,7
1606,Acetylcarnitine,N06BX12,N,N06,15,N06B,N06BX,A,7
1607,Pitavastatin,C10AA08,C,C10,12,C10A,C10AA,P,7
1608,Cholecystokinin,V04CK02,V,V04,15,V04C,V04CK,C,7
1609,Rilpivirine,J05AR19,J,J05,11,J05A,J05AR,R,7
1610,Crizotinib,L01XE16,L,L01,10,L01X,L01XE,C,7
1611,Ulipristal,G03AD02,G,G03,10,G03A,G03AD,U,7
1612,Fingolimod,L04AA27,L,L04,10,L04A,L04AA,F,7
1613,Tesamorelin,H01AC06,H,H01,11,H01A,H01AC,T,7
1614,Eribulin,L01XX41,L,L01,8,L01X,L01XX,E,7
1615,Boceprevir,J05AP03,J,J05,10,J05A,J05AP,B,7
1616,Fidaxomicin,A07AA12,A,A07,11,A07A,A07AA,F,7
1617,Cabozantinib,L01XE26,L,L01,12,L01X,L01XE,C,7
1618,Ruxolitinib,L01XE18,L,L01,11,L01X,L01XE,R,7
1619,Teriflunomide,L04AA31,L,L04,13,L04A,L04AA,T,7
1620,Vemurafenib,L01XE15,L,L01,11,L01X,L01XE,V,7
1621,Linagliptin,A10BH05,A,A10,11,A10B,A10BH,L,7
1622,Perampanel,N03AX22,N,N03,10,N03A,N03AX,P,7
1623,Gadoxetic acid,V08CA10,V,V08,14,V08C,V08CA,G,7
1624,Carfilzomib,L01XX45,L,L01,11,L01X,L01XX,C,7
1625,Linaclotide,A06AX04,A,A06,11,A06A,A06AX,L,7
1626,Mirabegron,G04BD12,G,G04,10,G04B,G04BD,M,7
1627,Tofacitinib,L04AA29,L,L04,11,L04A,L04AA,T,7
1628,Regorafenib,L01XE21,L,L01,11,L01X,L01XE,R,7
1629,Aclidinium,R03BB05,R,R03,10,R03B,R03BB,A,7
1630,Glucarpidase,V03AF09,V,V03,12,V03A,V03AF,G,7
1631,Enzalutamide,L02BB04,L,L02,12,L02B,L02BB,E,7
1632,Teduglutide,A16AX08,A,A16,11,A16A,A16AX,T,7
1633,Ponatinib,L01XE24,L,L01,9,L01X,L01XE,P,7
1634,Bedaquiline,J04AK05,J,J04,11,J04A,J04AK,B,7
1635,Formestane,L02BG02,L,L02,10,L02B,L02BG,F,7
1636,Fluticasone furoate,R03AL08,R,R03,19,R03A,R03AL,F,7
1637,Canagliflozin,A10BD16,A,A10,13,A10B,A10BD,C,7
1638,Dimethyl fumarate,L04AX07,L,L04,17,L04A,L04AX,D,7
1639,Glycerol phenylbutyrate,A16AX09,A,A16,23,A16A,A16AX,G,7
1640,Pomalidomide,L04AX06,L,L04,12,L04A,L04AX,P,7
1641,Trametinib,L01XE25,L,L01,10,L01X,L01XE,T,7
1642,Dabrafenib,L01XE23,L,L01,10,L01X,L01XE,D,7
1643,Afatinib,L01XE13,L,L01,8,L01X,L01XE,A,7
1644,Adrafinil,N06BX17,N,N06,9,N06B,N06BX,A,7
1645,Arsthinol,P01AR01,P,P01,9,P01A,P01AR,A,7
1646,Dolutegravir,J05AX12,J,J05,12,J05A,J05AX,D,7
1647,Riociguat,C02KX05,C,C02,9,C02K,C02KX,R,7
1648,Macitentan,C02KX04,C,C02,10,C02K,C02KX,M,7
1649,Luliconazole,D01AC18,D,D01,12,D01A,D01AC,L,7
1650,Sofosbuvir,J05AP08,J,J05,10,J05A,J05AP,S,7
1651,Chlorcyclizine,R06AE04,R,R06,14,R06A,R06AE,C,7
1652,Magaldrate,A02AD02,A,A02,10,A02A,A02AD,M,7
1653,Letosteine,R05CB09,R,R05,10,R05C,R05CB,L,7
1654,Kebuzone,M01AA06,M,M01,8,M01A,M01AA,K,7
1655,Isoxsuprine,C04AA01,C,C04,11,C04A,C04AA,I,7
1656,Isoconazole,G01AF07,G,G01,11,G01A,G01AF,I,7
1657,Isoaminile,R05DB04,R,R05,10,R05D,R05DB,I,7
1658,Iotroxic acid,V08AC02,V,V08,13,V08A,V08AC,I,7
1659,Iopanoic acid,V08AC06,V,V08,13,V08A,V08AC,I,7
1660,Iopamidol,V08AB04,V,V08,9,V08A,V08AB,I,7
1661,Iodamide,V08AA03,V,V08,8,V08A,V08AA,I,7
1662,Inositol nicotinate,C04AC03,C,C04,19,C04A,C04AC,I,7
1663,Indoramin,C02CA02,C,C02,9,C02C,C02CA,I,7
1664,Indoprofen,M01AE10,M,M01,10,M01A,M01AE,I,7
1665,Ifenprodil,C04AX28,C,C04,10,C04A,C04AX,I,7
1666,Ibuproxam,M01AE13,M,M01,9,M01A,M01AE,I,7
1667,Hexoprenaline,R03AC06,R,R03,13,R03A,R03AC,H,7
1668,Hexetidine,G01AX16,G,G01,10,G01A,G01AX,H,7
1669,Glibornuride,A10BB04,A,A10,12,A10B,A10BB,G,7
1670,Gemeprost,G02AD03,G,G02,9,G02A,G02AD,G,7
1671,Fusafungine,R02AB03,R,R02,11,R02A,R02AB,F,7
1672,Dimetotiazine,N02CX05,N,N02,13,N02C,N02CX,D,7
1673,Fluprednidene,D07XB03,D,D07,13,D07X,D07XB,F,7
1674,Fluocortolone,D07AC05,D,D07,13,D07A,D07AC,F,7
1675,Flumequine,J01MB07,J,J01,10,J01M,J01MB,F,7
1676,Flubendazole,P02CA05,P,P02,12,P02C,P02CA,F,7
1677,Floctafenine,N02BG04,N,N02,12,N02B,N02BG,F,7
1678,Fentonium,A03BB04,A,A03,9,A03B,A03BB,F,7
1679,Fenspiride,R03BX01,R,R03,10,R03B,R03BX,F,7
1680,Fendiline,C08EA01,C,C08,9,C08E,C08EA,F,7
1681,Fenbufen,M01AE05,M,M01,8,M01A,M01AE,F,7
1682,Etofibrate,C10AB09,C,C10,10,C10A,C10AB,E,7
1683,Etofenamate,M02AA06,M,M02,11,M02A,M02AA,E,7
1684,Etilefrine,C01CA51,C,C01,10,C01C,C01CA,E,7
1685,Etifoxine,N05BX03,N,N05,9,N05B,N05BX,E,7
1686,Etidocaine,N01BB07,N,N01,10,N01B,N01BB,E,7
1687,Etamivan,R07AB04,R,R07,8,R07A,R07AB,E,7
1688,Eprazinone,R05CB04,R,R05,10,R05C,R05CB,E,7
1689,Eperisone,M03BX09,M,M03,9,M03B,M03BX,E,7
1690,Ditazole,B01AC01,B,B01,8,B01A,B01AC,D,7
1691,Diosmin,C05CA03,C,C05,7,C05C,C05CA,D,7
1692,Dimetacrine,N06AA18,N,N06,11,N06A,N06AA,D,7
1693,Dexetimide,N04AA08,N,N04,10,N04A,N04AA,D,7
1694,Cyclopentamine,R01AA02,R,R01,14,R01A,R01AA,C,7
1695,Cyamemazine,N05AA06,N,N05,11,N05A,N05AA,C,7
1696,Barbexaclone,N03AA04,N,N03,12,N03A,N03AA,B,7
1697,Cloperastine,R05DB21,R,R05,12,R05D,R05DB,C,7
1698,Clobutinol,R05DB03,R,R05,10,R05D,R05DB,C,7
1699,Chlorphenoxamine,D04AA34,D,D04,16,D04A,D04AA,C,7
1700,Cefaloridine,J01DB02,J,J01,12,J01D,J01DB,C,7
1701,Articaine,N01BB58,N,N01,9,N01B,N01BB,A,7
1702,Carmofur,L01BC04,L,L01,8,L01B,L01BC,C,7
1703,Beclamide,N03AX30,N,N03,9,N03A,N03AX,B,7
1704,Carbazochrome,B02BX02,B,B02,13,B02B,B02BX,C,7
1705,Befunolol,S01ED06,S,S01,9,S01E,S01ED,B,7
1706,Captodiame,N05BB02,N,N05,10,N05B,N05BB,C,7
1707,Canrenoic acid,C03DA02,C,C03,14,C03D,C03DA,C,7
1708,Butriptyline,N06AA15,N,N06,12,N06A,N06AA,B,7
1709,Brotizolam,N05CD09,N,N05,10,N05C,N05CD,B,7
1710,Bromopride,A03FA04,A,A03,10,A03F,A03FA,B,7
1711,Bromhexine,R05CB02,R,R05,10,R05C,R05CB,B,7
1712,Bisacodyl,A06AB52,A,A06,9,A06A,A06AB,B,7
1713,Benzoctamine,N05BD01,N,N05,12,N05B,N05BD,B,7
1714,Benfluorex,A10BX06,A,A10,10,A10B,A10BX,B,7
1715,Aliskiren,C09XA54,C,C09,9,C09X,C09XA,A,7
1716,Ledipasvir,J05AP51,J,J05,10,J05A,J05AP,L,7
1717,Cytisine,N07BA04,N,N07,8,N07B,N07BA,C,7
1718,Vorapaxar,B01AC26,B,B01,9,B01A,B01AC,V,7
1719,Miltefosine,L01XX09,L,L01,11,L01X,L01XX,M,7
1720,Suvorexant,N05CM19,N,N05,10,N05C,N05CM,S,7
1721,Empagliflozin,A10BD19,A,A10,13,A10B,A10BD,E,7
1722,Eliglustat,A16AX10,A,A16,10,A16A,A16AX,E,7
1723,Efinaconazole,D01AC19,D,D01,13,D01A,D01AC,E,7
1724,Tavaborole,D01AE24,D,D01,10,D01A,D01AE,T,7
1725,Albiglutide,A10BJ04,A,A10,11,A10B,A10BJ,A,7
1726,Naloxegol,A06AH03,A,A06,9,A06A,A06AH,N,7
1727,Ibrutinib,L01XE27,L,L01,9,L01X,L01XE,I,7
1728,Idelalisib,L01XX47,L,L01,10,L01X,L01XX,I,7
1729,Acipimox,C10AD06,C,C10,8,C10A,C10AD,A,7
1730,Amorolfine,D01AE16,D,D01,10,D01A,D01AE,A,7
1731,Atosiban,G02CX01,G,G02,8,G02C,G02CX,A,7
1732,Cannabidiol,N03AX24,N,N03,11,N03A,N03AX,C,7
1733,Cefminox,J01DC12,J,J01,8,J01D,J01DC,C,7
1734,Ceritinib,L01XE28,L,L01,9,L01X,L01XE,C,7
1735,Ciprofibrate,C10AB08,C,C10,12,C10A,C10AB,C,7
1736,Cobicistat,J05AR09,J,J05,10,J05A,J05AR,C,7
1737,Vortioxetine,N06AX26,N,N06,12,N06A,N06AX,V,7
1738,Trimetazidine,C01EB15,C,C01,13,C01E,C01EB,T,7
1739,Tibolone,G03CX01,G,G03,8,G03C,G03CX,T,7
1740,Tasimelteon,N05CH03,N,N05,11,N05C,N05CH,T,7
1741,Sodium oxybate,N01AX11,N,N01,14,N01A,N01AX,S,7
1742,Palbociclib,L01XE33,L,L01,11,L01X,L01XE,P,7
1743,Olaparib,L01XX46,L,L01,8,L01X,L01XX,O,7
1744,Edoxaban,B01AF03,B,B01,8,B01A,B01AF,E,7
1745,Umeclidinium,R03AL08,R,R03,12,R03A,R03AL,U,7
1746,Lenvatinib,L01XE29,L,L01,10,L01X,L01XE,L,7
1747,Nintedanib,L01XE31,L,L01,10,L01X,L01XE,N,7
1748,Olodaterol,R03AL06,R,R03,10,R03A,R03AL,O,7
1749,Idebenone,N06BX13,N,N06,9,N06B,N06BX,I,7
1750,Vilanterol,R03AL08,R,R03,10,R03A,R03AL,V,7
1751,Ivabradine,C01EB17,C,C01,10,C01E,C01EB,I,7
1752,Benzydamine,A01AD02,A,A01,11,A01A,A01AD,B,7
1753,Tetracaine,C05AD02,C,C05,10,C05A,C05AD,T,7
1754,Trimebutine,A03AA05,A,A03,11,A03A,A03AA,T,7
1755,Pinaverium,A03AX04,A,A03,10,A03A,A03AX,P,7
1756,Tixocortol,R01AD57,R,R01,10,R01A,R01AD,T,7
1757,Xanthinol,C04AD02,C,C04,9,C04A,C04AD,X,7
1758,Chlortetracycline,D06AA02,D,D06,17,D06A,D06AA,C,7
1759,Difluocortolone,D07AC06,D,D07,15,D07A,D07AC,D,7
1760,Benzoyl peroxide,D10AE01,D,D10,16,D10A,D10AE,B,7
1761,Quinagolide,G02CB04,G,G02,11,G02C,G02CB,Q,7
1762,Somatrem,H01AC02,H,H01,8,H01A,H01AC,S,7
1763,Somatostatin,H01CB01,H,H01,12,H01C,H01CB,S,7
1764,Elvitegravir,J05AR09,J,J05,12,J05A,J05AR,E,7
1765,Daclatasvir,J05AP07,J,J05,11,J05A,J05AP,D,7
1766,Magnesium hydroxide,G04BX01,G,G04,19,G04B,G04BX,M,7
1767,Coenzyme M,R05CB05,R,R05,10,R05C,R05CB,C,7
1768,Nitrous acid,V03AB08,V,V03,12,V03A,V03AB,N,7
1769,Colfosceril palmitate,R07AA01,R,R07,21,R07A,R07AA,C,7
1770,Diiodohydroxyquinoline,G01AC01,G,G01,22,G01A,G01AC,D,7
1771,Calcium carbimide,N07BB02,N,N07,17,N07B,N07BB,C,7
1772,Paraldehyde,N05CC05,N,N05,11,N05C,N05CC,P,7
1773,Stiripentol,N03AX17,N,N03,11,N03A,N03AX,S,7
1774,Zucapsaicin,M02AB02,M,M02,11,M02A,M02AB,Z,7
1775,Aurothioglucose,M01CB04,M,M01,15,M01C,M01CB,A,7
1776,Dienogest,G03AB08,G,G03,9,G03A,G03AB,D,7
1777,Medrogestone,G03FB07,G,G03,12,G03F,G03FB,M,7
1778,Potassium citrate,A12BA02,A,A12,17,A12B,A12BA,P,7
1779,Brexpiprazole,N05AX16,N,N05,13,N05A,N05AX,B,7
1780,Gadoteric acid,V08CA02,V,V08,14,V08C,V08CA,G,7
1781,Iothalamic acid,V08AA04,V,V08,15,V08A,V08AA,I,7
1782,Ioversol,V08AB07,V,V08,8,V08A,V08AB,I,7
1783,Ioxilan,V08AB12,V,V08,7,V08A,V08AB,I,7
1784,Technetium Tc-99m mebrofenin,V09DA04,V,V09,28,V09D,V09DA,T,7
1785,Technetium Tc-99m medronate,V09BA02,V,V09,27,V09B,V09BA,T,7
1786,Technetium Tc-99m oxidronate,V09BA01,V,V09,28,V09B,V09BA,T,7
1787,Oxygen,V03AN01,V,V03,6,V03A,V03AN,O,7
1788,Sincalide,V04CC03,V,V04,9,V04C,V04CC,S,7
1789,Sonidegib,L01XX48,L,L01,9,L01X,L01XX,S,7
1790,Uridine triacetate,A16AX13,A,A16,18,A16A,A16AX,U,7
1791,Iron sucrose,B03AB02,B,B03,12,B03A,B03AB,I,7
1792,Florbetaben F-18,V09AX06,V,V09,16,V09A,V09AX,F,7
1793,Florbetapir F-18,V09AX05,V,V09,16,V09A,V09AX,F,7
1794,Flutemetamol (18F),V09AX04,V,V09,18,V09A,V09AX,F,7
1795,Nitrogen,V03AN04,V,V03,8,V03A,V03AN,N,7
1796,Sodium chloride,B05XA03,B,B05,15,B05X,B05XA,S,7
1797,Sodium citrate,B05CB02,B,B05,14,B05C,B05CB,S,7
1798,Helium,V03AN03,V,V03,6,V03A,V03AN,H,7
1799,Iopromide,V08AB05,V,V08,9,V08A,V08AB,I,7
1800,Carbon dioxide,V03AN02,V,V03,14,V03A,V03AN,C,7
1801,Technetium Tc-99m tetrofosmin,V09GA02,V,V09,29,V09G,V09GA,T,7
1802,Technetium Tc-99m sestamibi,V09GA01,V,V09,27,V09G,V09GA,T,7
1803,Technetium Tc-99m exametazime,V09AA01,V,V09,29,V09A,V09AA,T,7
1804,Technetium Tc-99m disofenin,V09DA01,V,V09,27,V09D,V09DA,T,7
1805,Technetium Tc-99m pyrophosphate,V09BA03,V,V09,31,V09B,V09BA,T,7
1806,Etizolam,N05BA19,N,N05,8,N05B,N05BA,E,7
1807,Dosulepin,N06AA16,N,N06,9,N06A,N06AA,D,7
1808,Dasabuvir,J05AP09,J,J05,9,J05A,J05AP,D,7
1809,Viloxazine,N06AX09,N,N06,10,N06A,N06AX,V,7
1810,Etoperidone,N06AB09,N,N06,11,N06A,N06AB,E,7
1811,Synephrine,S01GA06,S,S01,10,S01G,S01GA,S,7
1812,Moxisylyte,C04AX10,C,C04,10,C04A,C04AX,M,7
1813,Trimazosin,C02CA03,C,C02,10,C02C,C02CA,T,7
1814,Pholcodine,R05DA08,R,R05,10,R05D,R05DA,P,7
1815,Piracetam,N06BX03,N,N06,9,N06B,N06BX,P,7
1816,Dexibuprofen,M01AE14,M,M01,12,M01A,M01AE,D,7
1817,Dexketoprofen,M02AA27,M,M02,13,M02A,M02AA,D,7
1818,Droxicam,M01AC04,M,M01,8,M01A,M01AC,D,7
1819,Tolfenamic acid,M01AG02,M,M01,15,M01A,M01AG,T,7
1820,Bisoxatin,A06AB09,A,A06,9,A06A,A06AB,B,7
1821,Nicorandil,C01DX16,C,C01,10,C01D,C01DX,N,7
1822,Melperone,N05AD03,N,N05,9,N05A,N05AD,M,7
1823,Zotepine,N05AX11,N,N05,8,N05A,N05AX,Z,7
1824,Barnidipine,C08CA12,C,C08,11,C08C,C08CA,B,7
1825,Benidipine,C08CA15,C,C08,10,C08C,C08CA,B,7
1826,Cilnidipine,C08CA14,C,C08,11,C08C,C08CA,C,7
1827,Lacidipine,C08CA09,C,C08,10,C08C,C08CA,L,7
1828,Manidipine,C08CA11,C,C08,10,C08C,C08CA,M,7
1829,Methylene blue,V03AB17,V,V03,14,V03A,V03AB,M,7
1830,Moxonidine,C02AC05,C,C02,10,C02A,C02AC,M,7
1831,Toloxatone,N06AG03,N,N06,10,N06A,N06AG,T,7
1832,Iproclozide,N06AF06,N,N06,11,N06A,N06AF,I,7
1833,Dextran,B05AA05,B,B05,7,B05A,B05AA,D,7
1834,Tegafur,L01BC03,L,L01,7,L01B,L01BC,T,7
1835,Bemiparin,B01AB12,B,B01,9,B01A,B01AB,B,7
1836,Reviparin,B01AB08,B,B01,9,B01A,B01AB,R,7
1837,Parnaparin,B01AB07,B,B01,10,B01A,B01AB,P,7
1838,Lixisenatide,A10AE54,A,A10,12,A10A,A10AE,L,7
1839,Strontium ranelate,M05BX03,M,M05,18,M05B,M05BX,S,7
1840,Picosulfuric acid,A06AB08,A,A06,17,A06A,A06AB,P,7
1841,Ubidecarenone,C01EB09,C,C01,13,C01E,C01EB,U,7
1842,Cimetropium,A03BB05,A,A03,11,A03B,A03BB,C,7
1843,Eluxadoline,A07DA06,A,A07,11,A07D,A07DA,E,7
1844,Doxofylline,R03DA11,R,R03,11,R03D,R03DA,D,7
1845,Artesunate,P01BE03,P,P01,10,P01B,P01BE,A,7
1846,Sodium aurothiomalate,M01CB01,M,M01,21,M01C,M01CB,S,7
1847,Activated charcoal,A07BA51,A,A07,18,A07B,A07BA,A,7
1848,Fimasartan,C09DA10,C,C09,10,C09D,C09DA,F,7
1849,Lumacaftor,R07AX30,R,R07,10,R07A,R07AX,L,7
1850,Molsidomine,C01DX12,C,C01,11,C01D,C01DX,M,7
1851,Trapidil,C01DX11,C,C01,8,C01D,C01DX,T,7
1852,Imolamine,C01DX09,C,C01,9,C01D,C01DX,I,7
1853,Morniflumate,M01AX22,M,M01,12,M01A,M01AX,M,7
1854,Pipamperone,N05AD05,N,N05,11,N05A,N05AD,P,7
1855,Propacetamol,N02BE05,N,N02,12,N02B,N02BE,P,7
1856,Tianeptine,N06AX14,N,N06,10,N06A,N06AX,T,7
1857,Rolapitant,A04AD14,A,A04,10,A04A,A04AD,R,7
1858,Sacubitril,C09DX04,C,C09,10,C09D,C09DX,S,7
1859,Iodide I-131,V09FX03,V,V09,12,V09F,V09FX,I,7
1860,Ombitasvir,J05AP53,J,J05,10,J05A,J05AP,O,7
1861,Paritaprevir,J05AP53,J,J05,12,J05A,J05AP,P,7
1862,Tenofovir alafenamide,J05AR19,J,J05,21,J05A,J05AR,T,7
1863,Butylscopolamine,A03DB04,A,A03,16,A03D,A03DB,B,7
1864,Chondroitin sulfate,M01AX25,M,M01,19,M01A,M01AX,C,7
1865,Solithromycin,J01FA16,J,J01,13,J01F,J01FA,S,7
1866,Ioxaglic acid,V08AB03,V,V08,13,V08A,V08AB,I,7
1867,Technetium Tc-99m pertechnetate,V09FX01,V,V09,31,V09F,V09FX,T,7
1868,Xenon-133,V09EX03,V,V09,9,V09E,V09EX,X,7
1869,Carindacillin,J01CR50,J,J01,13,J01C,J01CR,C,7
